Project;Class;CC;Largest CC of a method;LOC;Method count;Dependency
1_tullibee;com.ib.client.Util;22;11;45;7;No
1_tullibee;com.ib.client.Contract;26;23;90;4;Yes
5_templateit;org.templateit.OpMatcher;27;8;90;5;Yes
7_sfmis;com.hf.sfm.crypt.Base64;22;9;103;9;No
11_imsmart;com.imsmart.servlet.HTMLFilter;8;8;27;1;No
15_beanbin;net.sourceforge.beanbin.search.WildcardSearch;11;10;42;2;No
24_saxpath;org.saxpath.Axis;28;14;89;2;No
33_javaviewcontrol;com.pmdesigns.jvc.tools.Base64Coder;35;17;81;7;No
33_javaviewcontrol;com.pmdesigns.jvc.tools.HtmlEncoder;14;14;40;1;No
35_corina;corina.util.NaturalSort;47;18;87;8;No
35_corina;corina.util.Sort;29;11;79;8;No
35_corina;corina.util.StringComparator;7;6;20;2;No
35_corina;corina.util.StringUtils;26;11;83;7;No
73_fim1;osa.ora.server.utils.StringEncoder64;38;10;139;9;No
36_schemaspy;net.sourceforge.schemaspy.util.Version;14;5;40;4;No
51_jiprof;org.objectweb.asm.jip.ByteVector;33;14;158;11;No
52_lagoon;nu.staldal.util.Utils;25;11;69;5;No
66_openjms;org.exolab.jms.util.CommandLine;24;8;80;10;No
68_biblestudy;bible.util.Queue;28;7;113;13;No
72_battlecry;bcry.bcWord;27;10;76;9;No
