Project;Version;Class;CC;Largest CC of a method;LOC;Method count;Dependency
codetiming;1.4.0;timers;21;3;77;12;No
dataclasses_json;0.6.7;stringcase;11;3;130;6;No
docstring_parser;0.16;common;49;5;228;14;No
docstring_parser;0.16;epydoc;56;39;268;4;No
docstring_parser;0.16;google;84;27;408;11;No
docstring_parser;0.16;numpydoc;123;38;532;21;No
docstring_parser;0.16;parser;11;6;98;3;No
docstring_parser;0.16;rest;59;25;259;4;No
flutils;0.7;txtutils;66;31;424;15;Yes
flutils;0.7;validators;10;10;82;1;No
httpie;3.2.2;status;6;5;40;1;No
isort;5.13.2;comments;7;5;32;2;No
pymonet;0.12.0;immutable_list;36;5;166;14;No
pyutils;0.0.14;bst;123;23;352;34;Yes
pyutils;0.0.14;centcount;63;8;373;20;No
pyutils;0.0.14;logical_search;86;22;306;18;Yes
pyutils;0.0.14;money;70;9;370;21;No
pyutils;0.0.14;rate;26;6;131;16;No
pyutils;0.0.14;trie;48;9;398;16;No
typesystem;0.4.1;unique;17;8;60;4;No
